"block","condition_label","score_type","n_input","beta","n_replications","mean_effect_size","sd_effect_size","mean_correlation","mean_latent_effect_base_full","mean_latent_effect_condition_full","mean_latent_effect_condition_selected","mean_delta_from_base_full","mean_delta_from_condition_full","mean_delta_from_condition_selected","mean_selection_effect_on_latent_d","mean_x_mean_obs","mean_y_mean_obs","mean_x_sd_obs","mean_y_sd_obs","mean_x_skew_obs","mean_y_skew_obs","mean_x_kurtosis_obs","mean_y_kurtosis_obs","mean_n_used","prop_significant"
"1D_threshold_shift","upper_0.70","sum",250,0.6,1000,0.166064902420466,0.0501438177359258,0.491899961436741,0.26405798839173,0.26405798839173,0.26405798839173,-0.0979930859712645,-0.0979930859712645,-0.0979930859712645,0,13.754872,13.75132,4.47715778091919,4.46743759588845,0.387615530161288,0.389641952486879,2.64096940546097,2.63296074599696,250,0
"1D_threshold_shift","upper_1.00","sum",250,0.6,1000,0.154055398266436,0.0558295027682176,0.483799584848726,0.26405798839173,0.26405798839173,0.26405798839173,-0.110002590125294,-0.110002590125294,-0.110002590125294,0,12.09774,12.100576,4.14955425934391,4.15338258653184,0.598388951093875,0.597039155495603,2.87366817779998,2.86412279860997,250,0
"1E_range_restriction","x_lower","sum",250,0.6,1000,0.19162327810492,0.0507794060535198,0.348868818537808,0.26405798839173,0.26405798839173,0.319603471610742,-0.0724347102868102,-0.0724347102868102,-0.127980193505822,0.0555454832190122,15.8091142857143,16.6969028571429,3.65057608668521,4.43474484497859,-0.250847995706308,0.0636848532751427,2.57016252483268,2.55577921842133,175,0
"1E_range_restriction","x_upper","sum",250,0.6,1000,0.131506539465218,0.0439475168882069,0.344027004947882,0.26405798839173,0.26405798839173,0.120901890058214,-0.132626699553058,-0.132626699553058,0.01051447098118,-0.143156098333516,20.1853085714286,19.31212,3.64777419448087,4.42144070610767,0.249861012685386,-0.0552885613762455,2.573362024251,2.55035990973312,175,0
"1E_range_restriction","y_lower","sum",250,0.6,1000,0.129198547124288,0.0433673924299659,0.348927089592979,0.26405798839173,0.26405798839173,0.123452981008862,-0.134859441267442,-0.134859441267442,0.00576783505983699,-0.14064688328492,16.6997657142857,15.8065542857143,4.42593047824984,3.6378067160888,0.0568329899674487,-0.245003417078205,2.55238767739557,2.56803171517253,175,0
"1E_range_restriction","y_upper","sum",250,0.6,1000,0.191626983146109,0.0488123185723272,0.346226140722385,0.26405798839173,0.26405798839173,0.318860902454654,-0.0724950878615927,-0.0724950878615927,-0.127310099059497,0.0548029140629242,19.2981142857143,20.1937428571429,4.42546745872806,3.64470591466369,-0.0594240079217481,0.241308704277974,2.56491411294831,2.56297301294406,175,0
"1A_score_construction","baseline_scores","factor",500,0.2,1000,0.112125003236792,0.0307174404749057,0.165537601500897,0.145060957476499,0.145060957476499,0.145060957476499,-0.0330340053120065,-0.0330340053120065,-0.0330340053120065,0,1.35889082969352e-06,-5.53237416645957e-05,0.907491628767657,0.907403427888044,-0.000133289486855506,-0.00328892747734489,2.81128912272719,2.81810531111312,500,0
"1A_score_construction","baseline_scores","sum",500,0.2,1000,0.0854602939994903,0.0257002754242629,0.165238231322968,0.145060957476499,0.145060957476499,0.145060957476499,-0.0596987145493085,-0.0596987145493085,-0.0596987145493085,0,17.998674,17.994018,4.78377980930282,4.78001579343897,-0.000532855523596286,-0.00163425677037133,2.50440001627132,2.5104043591729,500,0
"1B_reliability","loading_0.50","sum",500,0.2,1000,0.103036961526619,0.0354372529864342,0.126753004267843,0.145060957476499,0.145060957476499,0.145060957476499,-0.0420239959498801,-0.0420239959498801,-0.0420239959498801,0,18.003524,17.998978,3.88371837127292,3.87875649699393,-0.00190039611279863,-0.00154888466448656,2.67269737697613,2.66662236272045,500,0
"1B_reliability","loading_0.70","sum",500,0.2,1000,0.0860076866094314,0.0259538144796769,0.165827117259478,0.145060957476499,0.145060957476499,0.145060957476499,-0.0590620054893433,-0.0590620054893433,-0.0590620054893433,0,18.003926,18.001754,4.78384135548329,4.78075792004435,-0.00304991191490543,-0.00176326218249221,2.50329229427513,2.51456728866576,500,0
"1B_reliability","loading_0.85","sum",500,0.2,1000,0.0473228201775769,0.0191810344158024,0.182351891383026,0.145060957476499,0.145060957476499,0.145060957476499,-0.0985991760286052,-0.0985991760286052,-0.0985991760286052,0,17.999654,18.000846,5.52037121764091,5.52256581457338,0.00188969768948717,-0.000158222811389109,2.38966282740672,2.39276756446201,500,0
"1C_response_categories","n_cat_4","sum",500,0.2,1000,0.0469548893181504,0.0195020488080183,0.161998744835448,0.145060957476499,0.145060957476499,0.145060957476499,-0.0984193533724792,-0.0984193533724792,-0.0984193533724792,0,14.995896,14.997322,4.18280790815834,4.18133651022862,0.00137201594683531,0.00124768418654275,2.28413422738724,2.28389744372871,500,0
"1C_response_categories","n_cat_5","sum",500,0.2,1000,0.0851298010675338,0.0283779294356201,0.165561771628731,0.145060957476499,0.145060957476499,0.145060957476499,-0.0600171382526906,-0.0600171382526906,-0.0600171382526906,0,17.995196,17.995096,4.78371037150658,4.78310872708032,0.00111076584613057,-0.000981305259973858,2.50411470546057,2.5067654645967,500,0
"1C_response_categories","n_cat_7","sum",500,0.2,1000,0.123667782610155,0.0385337973346803,0.166512307970473,0.145060957476499,0.145060957476499,0.145060957476499,-0.021569375702838,-0.021569375702838,-0.021569375702838,0,24.002096,24.007152,5.26924782283631,5.26775555230183,-0.00274315152382258,-0.000480169614906265,2.84543409400188,2.84676928329525,500,0
"1D_threshold_shift","lower_0.50","sum",500,0.2,1000,0.0764612916167174,0.0308304766221309,0.165919080900636,0.145060957476499,0.145060957476499,0.145060957476499,-0.0686963568663485,-0.0686963568663485,-0.0686963568663485,0,21.065834,21.070598,4.62897741298098,4.62644066840191,-0.270352060460931,-0.271903681149243,2.56935112763166,2.57335897029005,500,0
"1D_threshold_shift","lower_0.70","sum",500,0.2,1000,0.0705101075855479,0.0322512260707539,0.162681087011055,0.145060957476499,0.145060957476499,0.145060957476499,-0.0747725456723016,-0.0747725456723016,-0.0747725456723016,0,22.246196,22.24646,4.46634614627321,4.47578698567831,-0.392372979813291,-0.396227447384458,2.65704019204627,2.66304924308193,500,0
