"rep_id","n_input","beta","n_cat","effect_size_fast","p_value_fast","effect_size_nca","p_value_nca","nca_error"
127,500,0.4,5,0.0625,0.00699300699300699,0.0625,0.010989010989011,NA
128,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
129,500,0.4,5,0.0625,0.00599400599400599,0.0625,0.00799200799200799,NA
130,500,0.4,5,0.0625,0.032967032967033,0.0625,0.026973026973027,NA
131,500,0.4,5,0.0625,0.00799200799200799,0.0625,0.011988011988012,NA
132,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
133,500,0.4,5,0.0625,0.023976023976024,0.0625,0.036963036963037,NA
134,500,0.4,5,0.0625,0.028971028971029,0.0625,0.021978021978022,NA
135,500,0.4,5,0.0625,0.011988011988012,0.0625,0.016983016983017,NA
136,500,0.4,5,0.0625,0.023976023976024,0.0625,0.011988011988012,NA
137,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
138,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
139,500,0.4,5,0,1,0,1,NA
140,500,0.4,5,0.0625,0.016983016983017,0.0625,0.022977022977023,NA
141,500,0.4,5,0.0625,0.024975024975025,0.0625,0.021978021978022,NA
142,500,0.4,5,0.0625,0.010989010989011,0.0625,0.003996003996004,NA
143,500,0.4,5,0.0625,0.045954045954046,0.0625,0.047952047952048,NA
144,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
145,500,0.4,5,0.0625,0.018981018981019,0.0625,0.013986013986014,NA
146,500,0.4,5,0.0625,0.027972027972028,0.0625,0.036963036963037,NA
147,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
148,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
149,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
150,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
151,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
152,500,0.4,5,0.0625,0.027972027972028,0.0625,0.026973026973027,NA
153,500,0.4,5,0.0625,0.014985014985015,0.0625,0.01998001998002,NA
154,500,0.4,5,0.0625,0.041958041958042,0.0625,0.03996003996004,NA
155,500,0.4,5,0.0625,0.026973026973027,0.0625,0.02997002997003,NA
156,500,0.4,5,0.0625,0.02997002997003,0.0625,0.034965034965035,NA
157,500,0.4,5,0.0625,0.00799200799200799,0.0625,0.013986013986014,NA
158,500,0.4,5,0.0625,0.010989010989011,0.0625,0.013986013986014,NA
159,500,0.4,5,0.0625,0.010989010989011,0.0625,0.00799200799200799,NA
160,500,0.4,5,0.0625,0.02997002997003,0.0625,0.034965034965035,NA
161,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
162,500,0.4,5,0.0625,0.011988011988012,0.0625,0.014985014985015,NA
163,500,0.4,5,0.0625,0.033966033966034,0.0625,0.02997002997003,NA
164,500,0.4,5,0,1,0,1,NA
165,500,0.4,5,0.0625,0.00699300699300699,0.0625,0.00599400599400599,NA
166,500,0.4,5,0.0625,0.041958041958042,0.0625,0.043956043956044,NA
167,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
168,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
169,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
170,500,0.4,5,0.0625,0.018981018981019,0.0625,0.015984015984016,NA
171,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
172,500,0.4,5,0,1,NA,NA,"subscript out of bounds | fallback failed: subscript out of bounds"
173,500,0.4,5,0.0625,0.035964035964036,0.0625,0.047952047952048,NA
